inst,succ probSAT,of,steps probSAT,awg fined probSAT,mu probSAT,sig^2 probSAT
uf20-0796.cnf,1000,1000,68.991,68.991,3.91014,0.70396
uf20-0797.cnf,1000,1000,44.601,44.601,3.32498,0.94805
uf20-0798.cnf,1000,1000,78.324,78.324,3.98386,0.80455
uf20-0799.cnf,1000,1000,62.309,62.309,3.75966,0.80178
uf20-0800.cnf,1000,1000,84.202,84.202,3.88543,1.14295
uf20-0801.cnf,1000,1000,87.307,87.307,3.73856,1.48081
uf20-0802.cnf,1000,1000,57.823,57.823,3.60265,0.9582
uf20-0803.cnf,1000,1000,29.351,29.351,3.03508,0.67768
uf20-0804.cnf,1000,1000,20.632,20.632,2.7955,0.46404
uf20-0805.cnf,1000,1000,99.781,99.781,4.09806,1.17683
uf20-0806.cnf,1000,1000,109.808,109.808,4.22425,1.08369
uf20-0807.cnf,1000,1000,51.594,51.594,3.61033,0.71965
uf20-0808.cnf,1000,1000,91.748,91.748,4.11993,0.88687
uf20-0809.cnf,1000,1000,25.64,25.64,2.98697,0.52088
uf20-0810.cnf,1000,1000,28.116,28.116,3.05438,0.55321
uf20-0811.cnf,1000,1000,28.482,28.482,3.03018,0.61229
uf20-0812.cnf,1000,1000,163.829,163.829,4.61799,1.16325
uf20-0813.cnf,1000,1000,16.214,16.214,2.5759,0.39836
uf20-0814.cnf,1000,1000,48.787,48.787,3.36085,1.06041
uf20-0815.cnf,997,1000,237.781,278.281,4.9047,1.38859
uf20-0816.cnf,1000,1000,65.862,65.862,3.72397,0.99626
uf20-0817.cnf,1000,1000,39.375,39.375,3.3137,0.74613
uf20-0818.cnf,1000,1000,75.92,75.92,3.89652,0.92761
uf20-0819.cnf,1000,1000,20.236,20.236,2.76635,0.47419
uf20-0820.cnf,1000,1000,22.107,22.107,2.83766,0.51217
uf20-0821.cnf,1000,1000,40.228,40.228,3.31778,0.76221
uf20-0822.cnf,1000,1000,27.534,27.534,2.98794,0.66966
uf20-0823.cnf,1000,1000,108.172,108.172,4.0819,1.26012
uf20-0824.cnf,1000,1000,34.788,34.788,3.23649,0.66348
uf20-0825.cnf,998,1000,232.96,259.96,4.71209,1.80806
uf20-0826.cnf,1000,1000,91.478,91.478,4.12421,0.84025
