inst,succ gSAT2,of,steps gSAT2,awg fined gSAT2,mu gSAT2,sig^2 gSAT2
uf50-0384.cnf,1000,1000,35.602,35.602,3.37908,0.32665
uf50-0385.cnf,1000,1000,36.232,36.232,3.383,0.36234
uf50-0386.cnf,1000,1000,52.918,52.918,3.64205,0.52821
uf50-0387.cnf,1000,1000,49.783,49.783,3.66327,0.4411
uf50-0388.cnf,1000,1000,44.786,44.786,3.52148,0.4808
uf50-0389.cnf,1000,1000,36.409,36.409,3.39305,0.34533
uf50-0390.cnf,1000,1000,40.534,40.534,3.4771,0.37269
uf50-0391.cnf,1000,1000,36.321,36.321,3.42012,0.31086
uf50-0392.cnf,1000,1000,38.507,38.507,3.44167,0.35695
uf50-0393.cnf,1000,1000,41.76,41.76,3.54457,0.33493
uf50-0394.cnf,1000,1000,46.891,46.891,3.57223,0.48303
uf50-0395.cnf,1000,1000,47.119,47.119,3.51937,0.42047
uf50-0396.cnf,1000,1000,53.883,53.883,3.67679,0.48904
uf50-0397.cnf,1000,1000,31.669,31.669,3.31056,0.27386
uf50-0398.cnf,999,1000,106.69,120.19,4.12107,0.93981
uf50-0399.cnf,1000,1000,54.458,54.458,3.69132,0.53652
uf50-0400.cnf,1000,1000,36.927,36.927,3.40837,0.3321
uf50-0401.cnf,1000,1000,29.441,29.441,3.25355,0.23991
uf50-0402.cnf,1000,1000,39.055,39.055,3.48554,0.31665
uf50-0403.cnf,999,1000,74.944,88.444,3.84403,0.74273
uf50-0404.cnf,1000,1000,30.303,30.303,3.26376,0.27064
uf50-0405.cnf,1000,1000,76.166,76.166,3.97491,0.63035
uf50-0406.cnf,1000,1000,33.034,33.034,3.35497,0.26232
uf50-0407.cnf,1000,1000,49.818,49.818,3.61515,0.51574
uf50-0408.cnf,1000,1000,69.969,69.969,3.88285,0.62536
uf50-0409.cnf,1000,1000,36.595,36.595,3.4343,0.30458
uf50-0410.cnf,1000,1000,42.318,42.318,3.55511,0.34963
uf50-0411.cnf,1000,1000,42.083,42.083,3.49069,0.43235
uf50-0412.cnf,999,1000,70.526,84.026,3.72597,0.75241
uf50-0413.cnf,1000,1000,50.796,50.796,3.64492,0.49575
uf50-0414.cnf,1000,1000,64.674,64.674,3.85558,0.54042
uf50-0415.cnf,1000,1000,39.483,39.483,3.41439,0.4117
uf50-0416.cnf,1000,1000,32.672,32.672,3.3449,0.26041
uf50-0417.cnf,1000,1000,28.609,28.609,3.23232,0.22667
uf50-0418.cnf,1000,1000,90.277,90.277,4.0062,0.82902
uf50-0419.cnf,1000,1000,42.64,42.64,3.49146,0.4291
uf50-0420.cnf,1000,1000,56.554,56.554,3.68485,0.56419
uf50-0421.cnf,1000,1000,58.188,58.188,3.73719,0.53655
uf50-0422.cnf,1000,1000,57.392,57.392,3.72956,0.53406
uf50-0423.cnf,1000,1000,36.763,36.763,3.39389,0.37036
uf50-0424.cnf,1000,1000,36.302,36.302,3.33783,0.39972
uf50-0425.cnf,1000,1000,46.895,46.895,3.56474,0.48905
uf50-0426.cnf,997,1000,67.127,107.627,3.62548,0.69533
uf50-0427.cnf,999,1000,48.624,62.124,3.54144,0.45754
uf50-0428.cnf,1000,1000,49.421,49.421,3.62604,0.47712
uf50-0429.cnf,1000,1000,45.924,45.924,3.56509,0.4113
uf50-0430.cnf,989,1000,168.014,316.514,4.39014,1.10194
uf50-0431.cnf,1000,1000,23.672,23.672,3.03875,0.23227
uf50-0432.cnf,1000,1000,40.626,40.626,3.48749,0.37776
uf50-0433.cnf,1000,1000,57.148,57.148,3.72082,0.53838
uf50-0434.cnf,1000,1000,67.924,67.924,3.87372,0.60436
uf50-0435.cnf,1000,1000,56.39,56.39,3.61543,0.62924
uf50-0436.cnf,1000,1000,34.748,34.748,3.37906,0.30824
uf50-0437.cnf,1000,1000,46.018,46.018,3.54822,0.47433
uf50-0438.cnf,998,1000,109.685,136.685,4.19987,0.85033
uf50-0439.cnf,1000,1000,60.986,60.986,3.59633,0.74259
uf50-0440.cnf,1000,1000,61.726,61.726,3.86007,0.49881
uf50-0441.cnf,998,1000,107.423,134.423,4.18308,0.82338
uf50-0442.cnf,999,1000,59.244,72.744,3.64483,0.6169
uf50-0443.cnf,1000,1000,26.83,26.83,3.15685,0.24027
uf50-0444.cnf,1000,1000,31.481,31.481,3.30833,0.25187
uf50-0445.cnf,1000,1000,41.584,41.584,3.44014,0.44763
uf50-0446.cnf,1000,1000,57.67,57.67,3.70342,0.575
uf50-0447.cnf,1000,1000,34.436,34.436,3.36068,0.32941
uf50-0448.cnf,1000,1000,70.173,70.173,3.7998,0.74033
uf50-0449.cnf,1000,1000,42.917,42.917,3.46846,0.46214
uf50-0450.cnf,1000,1000,33.819,33.819,3.33745,0.30968
uf50-0451.cnf,999,1000,80.124,93.624,3.87545,0.7292
uf50-0452.cnf,1000,1000,51.668,51.668,3.71411,0.40691
uf50-0453.cnf,1000,1000,47.802,47.802,3.60771,0.46823
uf50-0454.cnf,1000,1000,38.603,38.603,3.46407,0.34672
uf50-0455.cnf,1000,1000,46.547,46.547,3.60016,0.42314
uf50-0456.cnf,1000,1000,58.325,58.325,3.66129,0.63914
uf50-0457.cnf,1000,1000,30.156,30.156,3.25197,0.26913
uf50-0458.cnf,1000,1000,35.92,35.92,3.37459,0.35289
uf50-0459.cnf,1000,1000,36.761,36.761,3.38716,0.3698
uf50-0460.cnf,1000,1000,41.603,41.603,3.51068,0.38483
uf50-0461.cnf,1000,1000,48.831,48.831,3.5333,0.55301
uf50-0462.cnf,1000,1000,30.291,30.291,3.23162,0.29009
uf50-0463.cnf,999,1000,80.052,93.552,3.89194,0.72481
uf50-0464.cnf,1000,1000,34.376,34.376,3.35575,0.32041
uf50-0465.cnf,1000,1000,34.295,34.295,3.35387,0.31344
uf50-0466.cnf,1000,1000,45.976,45.976,3.55352,0.45439
uf50-0467.cnf,1000,1000,34.92,34.92,3.36863,0.3157
uf50-0468.cnf,1000,1000,42.358,42.358,3.46945,0.4599
uf50-0469.cnf,1000,1000,30.062,30.062,3.24989,0.27655
